Старый мнемоник,Новый мнемоник
A34L (A34L_COND),ориг. обознач.1
"A34L_UNC
 или
A40H (A40H_COND)",ориг. обознач.1
A40H_UNC,ориг. обознач.1
A40L (A40L_COND),ориг. обознач.1
A40L_UNC,ориг. обознач.1
RDAH,ориг. обознач.1
RDAL,ориг. обознач.1
P16H1,ориг. обознач.1
P16H2,ориг. обознач.1
P16M1,ориг. обознач.1
P16M2,ориг. обознач.1
P16L1,ориг. обознач.1
P16L2,ориг. обознач.1
A16H1,ориг. обознач.1
A16H2,ориг. обознач.1
A16M1,ориг. обознач.1
A16M2,ориг. обознач.1
A16L1,ориг. обознач.1
A16L3,ориг. обознач.1
P16H,ориг. обознач.1
P16M,ориг. обознач.1
P16L,ориг. обознач.1
A16H,ориг. обознач.1
A16M,ориг. обознач.1
A16L,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RH16P (CH16P),ориг. обознач.1
RH16PC (CH16PC),ориг. обознач.1
RM16P (CM16P),ориг. обознач.1
RM16PC (CM16PC),ориг. обознач.1
RL16P (CL16P),ориг. обознач.1
RL16PC (CL16PC),ориг. обознач.1
RH16A (CH16A),ориг. обознач.1
RH16AC (CH16AC),ориг. обознач.1
RM16A (CM16A),ориг. обознач.1
RM16AC (CM16AC),ориг. обознач.1
RL16A (CL16A),ориг. обознач.1
RL16AC (CL16AC),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P24H1,ориг. обознач.1
P24H2,ориг. обознач.1
P24M1,ориг. обознач.1
P24M2,ориг. обознач.1
P24L1,ориг. обознач.1
P24L2,ориг. обознач.1
A24H1,ориг. обознач.1
A24H2,ориг. обознач.1
A24M1,ориг. обознач.1
A24M2,ориг. обознач.1
A24L1,ориг. обознач.1
A24L3,ориг. обознач.1
P24H,ориг. обознач.1
P24M,ориг. обознач.1
P24L,ориг. обознач.1
A24H,ориг. обознач.1
A24M,ориг. обознач.1
A24L,ориг. обознач.1
RH24P (CH24P),ориг. обознач.1
RH24PC (CH24PC),ориг. обознач.1
RM24P (CM24P),ориг. обознач.1
RM24PC (CM24PC),ориг. обознач.1
RL24P (CL24P),ориг. обознач.1
RL24PC (CL24PC),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RH24A (CH24A),ориг. обознач.1
RH24AC (CH24AC),ориг. обознач.1
RM24A (CM24A),ориг. обознач.1
RM24AC (CM24AC),ориг. обознач.1
RL24A (CL24A),ориг. обознач.1
RL24AC (CL24AC),ориг. обознач.1
P32H1,ориг. обознач.1
P32H2,ориг. обознач.1
P32M1,ориг. обознач.1
P32M2,ориг. обознач.1
P32L1,ориг. обознач.1
P32L2,ориг. обознач.1
A32H1,ориг. обознач.1
A32H2,ориг. обознач.1
A32M1,ориг. обознач.1
A32M2,ориг. обознач.1
A32L1,ориг. обознач.1
A32L3,ориг. обознач.1
P32H,ориг. обознач.1
P32M,ориг. обознач.1
P32L,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
A32H,ориг. обознач.1
A32M,ориг. обознач.1
A32L,ориг. обознач.1
RH32P (CH32P),ориг. обознач.1
RH32PC (CH32PC),ориг. обознач.1
RM32P (CM32P),ориг. обознач.1
RM32PC (CM32PC),ориг. обознач.1
RL32P (CL32P),ориг. обознач.1
RL32PC (CL32PC),ориг. обознач.1
RH32A (CH32A),ориг. обознач.1
RH32AC (CH32AC),ориг. обознач.1
RM32A (CM32A),ориг. обознач.1
RM32AC (CM32AC),ориг. обознач.1
RL32A (CL32A),ориг. обознач.1
RL32AC (CL32AC),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
P40H1,ориг. обознач.1
P40H2,ориг. обознач.1
P40M1,ориг. обознач.1
P40M2,ориг. обознач.1
P40L1,ориг. обознач.1
P40L2,ориг. обознач.1
A40H1,ориг. обознач.1
A40H2,ориг. обознач.1
A40M1,ориг. обознач.1
A40M2,ориг. обознач.1
A40L1,ориг. обознач.1
A40L3,ориг. обознач.1
P40H,ориг. обознач.1
P40M,ориг. обознач.1
P40L,ориг. обознач.1
A40H,ориг. обознач.1
A40M,ориг. обознач.1
A40L,ориг. обознач.1
RH40P (CH40P),ориг. обознач.1
RH40PC (CH40PC),ориг. обознач.1
RM40P (CM40P),ориг. обознач.1
RM40PC (CM40PC),ориг. обознач.1
RL40P (CL40P),ориг. обознач.1
RL40PC (CL40PC),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
RH40A (CH40A),ориг. обознач.1
RH40AC (CH40AC),ориг. обознач.1
RM40A (CM40A),ориг. обознач.1
RM40AC (CM40AC),ориг. обознач.1
RL40A (CL40A),ориг. обознач.1
RL40AC (CL40AC),ориг. обознач.1
P48H1,ориг. обознач.1
P48H2,ориг. обознач.1
P48M1,ориг. обознач.1
P48M2,ориг. обознач.1
P48L1,ориг. обознач.1
P48L2,ориг. обознач.1
A48H1,ориг. обознач.1
A48H2,ориг. обознач.1
A48M1,ориг. обознач.1
A48M2,ориг. обознач.1
A48L1,ориг. обознач.1
A48L3,ориг. обознач.1
P48H,ориг. обознач.1
P48M,ориг. обознач.1
P48L,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
A48H,ориг. обознач.1
A48M,ориг. обознач.1
A48L,ориг. обознач.1
RH48P (CH48P),ориг. обознач.1
RH48PC (CH48PC),ориг. обознач.1
RM48P (CM48P),ориг. обознач.1
RM48PC (CM48PC),ориг. обознач.1
RL48P (CL48P),ориг. обознач.1
RL48PC (CL48PC),ориг. обознач.1
RH48A (CH48A),ориг. обознач.1
RH48AC (CH48AC),ориг. обознач.1
RM48A (CM48A),ориг. обознач.1
RM48AC (CM48AC),ориг. обознач.1
RL48A (CL48A),ориг. обознач.1
RL48AC (CL48AC),ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AH16P,ориг. обознач.1
AM16P,ориг. обознач.1
AL16P,ориг. обознач.1
AH16A,ориг. обознач.1
AM16A,ориг. обознач.1
AL16A,ориг. обознач.1
ARH16P,ориг. обознач.1
ARH16PC,ориг. обознач.1
ARM16P,ориг. обознач.1
ARM16PC,ориг. обознач.1
ARL16P,ориг. обознач.1
ARL16PC,ориг. обознач.1
ARH16A,ориг. обознач.1
ARH16AC,ориг. обознач.1
ARM16A,ориг. обознач.1
ARM16AC,ориг. обознач.1
ARL16A,ориг. обознач.1
ARL16AC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AH24P,ориг. обознач.1
AM24P,ориг. обознач.1
AL24P,ориг. обознач.1
AH24A,ориг. обознач.1
AM24A,ориг. обознач.1
AL24A,ориг. обознач.1
ARH24P,ориг. обознач.1
ARH24PC,ориг. обознач.1
ARM24P,ориг. обознач.1
ARM24PC,ориг. обознач.1
ARL24P,ориг. обознач.1
ARL24PC,ориг. обознач.1
ARH24A,ориг. обознач.1
ARH24AC,ориг. обознач.1
ARM24A,ориг. обознач.1
ARM24AC,ориг. обознач.1
ARL24A,ориг. обознач.1
ARL24AC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AH32P,ориг. обознач.1
AM32P,ориг. обознач.1
AL32P,ориг. обознач.1
AH32A,ориг. обознач.1
AM32A,ориг. обознач.1
AL32A,ориг. обознач.1
ARH32P,ориг. обознач.1
ARH32PC,ориг. обознач.1
ARM32P,ориг. обознач.1
ARM32PC,ориг. обознач.1
ARL32P,ориг. обознач.1
ARL32PC,ориг. обознач.1
ARH32A,ориг. обознач.1
ARH32AC,ориг. обознач.1
ARM32A,ориг. обознач.1
ARM32AC,ориг. обознач.1
ARL32A,ориг. обознач.1
ARL32AC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AH40P,ориг. обознач.1
AM40P,ориг. обознач.1
AL40P,ориг. обознач.1
AH40A,ориг. обознач.1
AM40A,ориг. обознач.1
AL40A,ориг. обознач.1
ARH40P,ориг. обознач.1
ARH40PC,ориг. обознач.1
ARM40P,ориг. обознач.1
ARM40PC,ориг. обознач.1
ARL40P,ориг. обознач.1
ARL40PC,ориг. обознач.1
ARH40A,ориг. обознач.1
ARH40AC,ориг. обознач.1
ARM40A,ориг. обознач.1
ARM40AC,ориг. обознач.1
ARL40A,ориг. обознач.1
ARL40AC,ориг. обознач.1
Baker Hughes,латиницей
Halliburton,латиницей
Schlumberger,латиницей
Pathfinder,латиницей
Sperry-Sun,латиницей
Weatherford (Reeves),латиницей
AH48P,ориг. обознач.1
AM48P,ориг. обознач.1
